Vaccine,type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 04:39:21 +0000,2019-01-09 04:40:23 +0000,ms,49.361549377441400,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 06:39:16 +0000,2019-01-09 06:40:20 +0000,ms,134.1526641845700,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 08:39:17 +0000,2019-01-09 08:40:22 +0000,ms,104.44256591796900,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 10:39:15 +0000,2019-01-09 10:40:19 +0000,ms,29.2959041595459,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 13:45:26 +0000,2019-01-09 13:47:37 +0000,ms,45.73838806152340,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 14:02:44 +0000,2019-01-09 14:03:45 +0000,ms,48.519649505615200,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 22:44:38 +0000,2019-01-09 22:45:43 +0000,ms,31.94428825378420,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-09 23:14:08 +0000,2019-01-09 23:16:19 +0000,ms,39.86618423461910,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 00:54:00 +0000,2019-01-10 00:56:11 +0000,ms,128.99708557128900,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 01:02:01 +0000,2019-01-10 01:03:02 +0000,ms,43.769996643066400,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 02:41:41 +0000,2019-01-10 02:42:46 +0000,ms,55.903377532959000,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 04:39:17 +0000,2019-01-10 04:40:23 +0000,ms,42.07136917114260,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 06:40:15 +0000,2019-01-10 06:41:19 +0000,ms,132.46438598632800,
