Start_Date,Start_Time,Heartrate
0,2021-08-19,22:01:13,72.68624114990233
1,2021-08-19,22:02:45,72.24832153320312
2,2021-08-19,22:04:07,72.24832153320312
3,2021-08-19,22:05:40,70.33333333333333
4,2021-08-19,22:09:05,70.0
5,2021-08-19,23:52:13,77.0
6,2021-08-19,23:49:08,77.0
7,2021-08-19,23:58:13,78.5
8,2021-08-19,22:42:40,77.5
9,2021-08-20,00:35:03,74.0
10,2021-08-20,01:07:04,71.5
11,2021-08-20,02:26:23,70.0
12,2021-08-20,02:04:07,72.0
13,2021-08-20,02:27:35,70.0
14,2021-08-20,02:30:40,69.5
15,2021-08-20,00:24:25,76.5
16,2021-08-20,03:10:55,70.0
17,2021-08-20,03:29:15,72.0
18,2021-08-20,04:36:45,71.0
19,2021-08-20,04:55:15,76.0
20,2021-08-20,04:55:25,76.0
21,2021-08-20,04:10:53,70.0
22,2021-08-20,04:24:45,70.66666666666667
23,2021-08-20,22:07:33,72.5
24,2021-08-20,23:53:14,75.0
25,2021-08-20,22:13:00,74.0
26,2021-08-20,23:56:18,75.0
27,2021-08-21,00:12:31,72.0
28,2021-08-21,22:14:00,81.5
29,2021-08-21,22:16:43,80.19191996256512
30,2021-08-21,22:57:01,80.5
31,2021-08-21,22:54:17,79.5
32,2021-08-21,23:14:57,75.33333333333333
33,2021-08-21,23:20:24,73.66666666666667
34,2021-08-22,00:25:17,74.0
35,2021-08-21,23:43:38,73.5
36,2021-08-22,01:17:42,68.0
37,2021-08-21,23:28:16,74.0
38,2021-08-22,01:20:57,70.0
39,2021-08-22,02:03:17,73.52103678385417
40,2021-08-22,02:24:58,64.0
41,2021-08-22,02:57:54,76.0
42,2021-08-22,03:00:49,71.0
43,2021-08-22,02:40:40,61.66666666666666
44,2021-08-22,03:20:06,73.5
45,2021-08-22,03:19:25,73.5
46,2021-08-22,03:21:38,73.5
47,2021-08-22,03:30:21,81.0
48,2021-08-22,03:30:31,81.0
49,2021-08-22,03:40:25,78.0
50,2021-08-22,03:44:31,76.5
51,2021-08-22,03:52:22,72.66666666666667
52,2021-08-22,03:35:28,76.66666666666667
53,2021-08-22,04:04:19,72.0
54,2021-08-22,04:00:13,71.0
55,2021-08-22,04:16:26,76.0
56,2021-08-22,05:11:14,74.0
57,2021-08-22,05:22:10,74.5
58,2021-08-22,05:28:08,75.0
59,2021-08-22,05:31:12,75.0
60,2021-08-22,05:43:09,78.5
61,2021-08-22,22:34:47,72.0
62,2021-08-22,23:20:41,68.0
63,2021-08-22,23:32:41,70.5
64,2021-08-22,23:30:58,67.5
65,2021-08-22,23:35:04,70.5
66,2021-08-22,23:50:30,72.0
67,2021-08-23,00:35:22,70.5
68,2021-08-23,01:26:05,67.0
69,2021-08-23,01:05:11,69.0
70,2021-08-23,01:36:42,66.0
71,2021-08-23,01:32:15,65.0
72,2021-08-23,02:33:55,66.0
73,2021-08-23,03:30:57,68.33333333333333
74,2021-08-23,02:53:57,68.5
75,2021-08-23,04:37:05,68.0
76,2021-08-23,04:42:44,66.0202865600586
77,2021-08-23,03:28:23,68.5
78,2021-08-23,04:49:55,63.35361989339193
79,2021-08-23,04:39:28,68.0
80,2021-08-23,04:59:10,66.5
81,2021-08-23,04:55:14,65.5
82,2021-08-23,05:10:08,67.0
83,2021-08-23,05:11:20,67.5
84,2021-08-23,05:12:53,68.0
85,2021-08-23,05:14:25,72.0
86,2021-08-23,05:15:58,72.0
87,2021-08-23,22:05:28,79.0
88,2021-08-23,22:22:36,82.0
89,2021-08-23,22:46:14,86.75757598876953
90,2021-08-23,22:40:04,88.5
91,2021-08-23,22:51:02,87.09090932210286
92,2021-08-23,22:57:53,87.0
93,2021-08-23,23:00:58,87.0
94,2021-08-23,22:51:12,87.09090932210286
95,2021-08-23,23:09:22,85.66666666666667
96,2021-08-23,23:28:22,83.5
97,2021-08-23,23:50:38,88.0
98,2021-08-23,23:54:04,85.5
99,2021-08-23,23:59:43,83.5
100,2021-08-24,00:02:28,83.0
101,2021-08-24,00:06:55,81.5
102,2021-08-24,00:09:19,80.0
103,2021-08-24,00:24:34,79.5
104,2021-08-24,00:12:34,79.33333333333333
105,2021-08-24,02:05:27,69.5
106,2021-08-24,02:34:04,70.0
107,2021-08-24,03:48:35,75.0
108,2021-08-24,03:32:49,64.0
109,2021-08-24,03:21:52,64.0
110,2021-08-24,03:59:12,106.5
111,2021-08-24,03:53:23,92.66666666666669
112,2021-08-24,04:18:23,87.0
113,2021-08-24,04:19:46,87.0
114,2021-08-24,04:23:32,87.5
115,2021-08-24,04:27:49,120.0
116,2021-08-24,04:37:34,83.33333333333333
117,2021-08-24,04:39:27,84.0
118,2021-08-24,04:56:25,85.0
119,2021-08-24,04:43:55,85.2598876953125
120,2021-08-24,05:01:23,83.5
121,2021-08-24,05:02:55,83.5
122,2021-08-24,04:58:08,84.0
123,2021-08-24,05:04:28,83.5
124,2021-08-24,05:06:42,83.5
125,2021-08-24,05:15:05,85.5
126,2021-08-24,05:17:39,85.5
127,2021-08-24,05:45:24,83.5
128,2021-08-24,05:57:54,84.0
129,2021-08-24,05:47:07,86.0
130,2021-08-24,22:50:06,72.5
131,2021-08-24,23:04:16,75.0
132,2021-08-24,23:09:54,74.22641372680664
133,2021-08-24,23:12:38,74.15094248453777
134,2021-08-24,23:21:51,75.0
135,2021-08-24,23:43:11,76.5
136,2021-08-24,23:22:52,75.0
137,2021-08-24,23:24:45,74.66666666666667
138,2021-08-24,23:53:46,80.0
139,2021-08-24,23:44:43,77.66666666666667
