Device,Start_Date,Start_Time,End_Date,End_Time,0
HK Apple Watch,8/23/21,22:40:04,8/23/21,22:40:04,0
HK Apple Watch,8/23/21,22:51:02,8/23/21,22:51:02,0
HK Apple Watch,8/23/21,22:57:53,8/23/21,22:57:53,0
HK Apple Watch,8/23/21,23:00:58,8/23/21,23:00:58,0
HK Apple Watch,8/23/21,22:51:12,8/23/21,22:51:12,0
HK Apple Watch,8/23/21,23:09:22,8/23/21,23:09:22,0
HK Apple Watch,8/23/21,23:28:22,8/23/21,23:28:22,0
HK Apple Watch,8/23/21,23:50:38,8/23/21,23:50:38,0
HK Apple Watch,8/23/21,23:54:04,8/23/21,23:54:04,0
HK Apple Watch,8/23/21,23:59:43,8/23/21,23:59:43,0
HK Apple Watch,8/24/21,0:02:28,8/24/21,0:02:28,0
HK Apple Watch,8/24/21,0:06:55,8/24/21,0:06:55,0
HK Apple Watch,8/24/21,0:09:19,8/24/21,0:09:19,0
HK Apple Watch,8/24/21,0:24:34,8/24/21,0:24:34,0
HK Apple Watch,8/24/21,0:12:34,8/24/21,0:12:34,0
HK Apple Watch,8/24/21,2:05:27,8/24/21,2:05:27,0
HK Apple Watch,8/24/21,2:34:04,8/24/21,2:34:04,0
HK Apple Watch,8/24/21,3:48:35,8/24/21,3:48:35,0
HK Apple Watch,8/24/21,3:32:49,8/24/21,3:32:49,0
HK Apple Watch,8/24/21,3:21:52,8/24/21,3:21:52,0
HK Apple Watch,8/24/21,3:59:12,8/24/21,3:59:12,0
HK Apple Watch,8/24/21,3:53:23,8/24/21,3:53:23,0
HK Apple Watch,8/24/21,4:18:23,8/24/21,4:18:23,0
HK Apple Watch,8/24/21,4:19:46,8/24/21,4:19:46,0
HK Apple Watch,8/24/21,4:23:32,8/24/21,4:23:32,0
HK Apple Watch,8/24/21,4:27:49,8/24/21,4:27:49,0
HK Apple Watch,8/24/21,4:37:34,8/24/21,4:37:34,0
HK Apple Watch,8/24/21,4:39:27,8/24/21,4:39:27,0
HK Apple Watch,8/24/21,4:56:25,8/24/21,4:56:25,0
HK Apple Watch,8/24/21,4:43:55,8/24/21,4:43:55,0
HK Apple Watch,8/24/21,5:01:23,8/24/21,5:01:23,0
HK Apple Watch,8/24/21,5:02:55,8/24/21,5:02:55,0
HK Apple Watch,8/24/21,4:58:08,8/24/21,4:58:08,0
HK Apple Watch,8/24/21,5:04:28,8/24/21,5:04:28,0
HK Apple Watch,8/24/21,5:06:42,8/24/21,5:06:42,0
HK Apple Watch,8/24/21,5:15:05,8/24/21,5:15:05,0
HK Apple Watch,8/24/21,5:17:39,8/24/21,5:17:39,0
HK Apple Watch,8/24/21,5:45:24,8/24/21,5:45:24,0
HK Apple Watch,8/24/21,5:57:54,8/24/21,5:57:54,0
HK Apple Watch,8/24/21,5:47:07,8/24/21,5:47:07,0
HK Apple Watch,8/24/21,22:50:06,8/24/21,22:50:06,0
HK Apple Watch,8/24/21,23:04:16,8/24/21,23:04:16,0
HK Apple Watch,8/24/21,23:09:54,8/24/21,23:09:54,0
HK Apple Watch,8/24/21,23:12:38,8/24/21,23:12:38,0
HK Apple Watch,8/24/21,23:21:51,8/24/21,23:21:51,0
HK Apple Watch,8/24/21,23:43:11,8/24/21,23:43:11,0
HK Apple Watch,8/24/21,23:22:52,8/24/21,23:22:52,0
HK Apple Watch,8/24/21,23:24:45,8/24/21,23:24:45,0
HK Apple Watch,8/24/21,23:53:46,8/24/21,23:53:46,0
HK Apple Watch,8/24/21,23:44:43,8/24/21,23:44:43,0
HK Apple Watch,8/25/21,0:02:18,8/25/21,0:02:18,0
HK Apple Watch,8/25/21,0:06:55,8/25/21,0:06:55,0
HK Apple Watch,8/25/21,0:19:53,8/25/21,0:19:53,0
HK Apple Watch,8/25/21,0:08:37,8/25/21,0:08:37,0
HK Apple Watch,8/25/21,0:25:11,8/25/21,0:25:11,0
HK Apple Watch,8/25/21,0:28:56,8/25/21,0:28:56,0
HK Apple Watch,8/25/21,0:26:43,8/25/21,0:26:43,0
HK Apple Watch,8/25/21,0:37:08,8/25/21,0:37:08,0
HK Apple Watch,8/25/21,0:37:18,8/25/21,0:37:18,0
HK Apple Watch,8/25/21,0:35:36,8/25/21,0:35:36,0
HK Apple Watch,8/25/21,2:20:34,8/25/21,2:20:34,0
HK Apple Watch,8/25/21,1:50:11,8/25/21,1:50:11,0
HK Apple Watch,8/25/21,3:20:18,8/25/21,3:20:18,0
HK Apple Watch,8/25/21,2:31:50,8/25/21,2:31:50,0
HK Apple Watch,8/25/21,3:31:55,8/25/21,3:31:55,0
HK Apple Watch,8/25/21,3:41:49,8/25/21,3:41:49,0
HK Apple Watch,8/25/21,3:42:50,8/25/21,3:42:50,0
HK Apple Watch,8/25/21,3:58:12,8/25/21,3:58:12,0
HK Apple Watch,8/25/21,3:49:30,8/25/21,3:49:30,0
HK Apple Watch,8/25/21,4:25:51,8/25/21,4:25:51,0
HK Apple Watch,8/25/21,4:27:23,8/25/21,4:27:23,0
HK Apple Watch,8/25/21,4:55:13,8/25/21,4:55:13,0
HK Apple Watch,8/25/21,4:59:39,8/25/21,4:59:39,0
HK Apple Watch,8/25/21,5:02:43,8/25/21,5:02:43,0
HK Apple Watch,8/25/21,5:26:47,8/25/21,5:26:47,0
HK Apple Watch,8/25/21,22:07:20,8/25/21,22:07:20,0
HK Apple Watch,8/25/21,22:18:08,8/25/21,22:18:08,0
HK Apple Watch,8/26/21,0:08:06,8/26/21,0:08:06,0
HK Apple Watch,8/26/21,0:26:37,8/26/21,0:26:37,0
HK Apple Watch,8/26/21,0:23:01,8/26/21,0:23:01,0
HK Apple Watch,8/26/21,1:06:11,8/26/21,1:06:11,0
HK Apple Watch,8/26/21,1:10:28,8/26/21,1:10:28,0
HK Apple Watch,8/26/21,1:15:16,8/26/21,1:15:16,0
HK Apple Watch,8/26/21,1:18:41,8/26/21,1:18:41,0
HK Apple Watch,8/26/21,1:24:51,8/26/21,1:24:51,0
HK Apple Watch,8/26/21,2:37:50,8/26/21,2:37:50,0
HK Apple Watch,8/26/21,2:56:51,8/26/21,2:56:51,0
HK Apple Watch,8/26/21,3:18:46,8/26/21,3:18:46,0
HK Apple Watch,8/26/21,3:25:58,8/26/21,3:25:58,0
HK Apple Watch,8/26/21,3:23:13,8/26/21,3:23:13,0
HK Apple Watch,8/26/21,3:41:33,8/26/21,3:41:33,0
HK Apple Watch,8/26/21,3:45:40,8/26/21,3:45:40,0
HK Apple Watch,8/29/21,22:01:44,8/29/21,22:01:44,0
HK Apple Watch,8/29/21,22:10:18,8/29/21,22:10:18,0
HK Apple Watch,8/29/21,22:13:43,8/29/21,22:13:43,0
HK Apple Watch,8/30/21,23:58:39,8/30/21,23:58:39,0
HK Apple Watch,8/30/21,23:59:10,8/30/21,23:59:10,0
HK Apple Watch,8/31/21,0:04:38,8/31/21,0:04:38,0
HK Apple Watch,8/31/21,0:34:41,8/31/21,0:34:41,0
HK Apple Watch,8/31/21,0:41:21,8/31/21,0:41:21,0
HK Apple Watch,8/31/21,0:42:32,8/31/21,0:42:32,0
HK Apple Watch,8/31/21,1:02:51,8/31/21,1:02:51,0
HK Apple Watch,8/31/21,1:38:01,8/31/21,1:38:01,0
HK Apple Watch,8/31/21,2:17:07,8/31/21,2:17:07,0
HK Apple Watch,8/31/21,2:59:37,8/31/21,2:59:37,0
HK Apple Watch,8/31/21,2:11:49,8/31/21,2:11:49,0
HK Apple Watch,8/31/21,1:35:07,8/31/21,1:35:07,0
HK Apple Watch,8/31/21,3:01:40,8/31/21,3:01:40,0
HK Apple Watch,8/31/21,4:06:01,8/31/21,4:06:01,0
