Device,Start_Date,Start_Time,Value,2021-08-19,23:44:08,77.59999999999998
,2021-08-19,23:47:13,77.75
,2021-08-19,23:53:13,77.75
,2021-08-20,23:48:14,75.5
,2021-08-20,23:51:18,76.0
,2021-08-21,00:07:31,72.79999999999998
,2021-08-22,00:20:17,74.5
,2021-08-23,23:54:43,84.66666666666667
,2021-08-23,23:57:28,83.5
,2021-08-24,00:07:34,79.5
,2021-08-24,00:04:19,80.25
,2021-08-24,00:19:34,79.25
,2021-08-24,00:01:55,81.0
,2021-08-24,23:57:18,81.5
,2021-08-26,00:03:06,73.75
,2021-08-26,00:18:01,70.24426574707032
,2021-08-26,00:21:37,69.6442657470703
,2021-08-31,23:48:07,69.0
,2021-08-31,23:58:02,69.6595703125
,2021-08-31,23:59:03,69.6595703125
,2021-09-01,00:27:33,68.4
,2021-09-01,00:18:31,69.6
,2021-09-01,23:48:19,80.79999999999998
,2021-09-01,23:52:46,81.0
,2021-09-01,23:56:53,80.75
,2021-09-01,23:58:05,81.0
,2021-09-09,23:56:08,77.33333333333333
,2021-09-10,23:57:48,95.25
,2021-09-11,00:05:49,96.0
,2021-09-14,00:00:22,79.33333333333333
,2021-09-16,00:03:40,78.5
,2021-09-16,00:07:25,78.25
,2021-09-16,00:23:38,76.0
,2021-09-18,00:08:06,85.40473022460938
,2021-09-18,00:09:08,85.40473022460938
,2021-09-23,00:07:52,88.5
,2021-09-23,00:03:25,89.5
,2021-09-23,23:55:02,74.0
,2021-09-27,23:43:16,78.45000076293945
,2021-09-27,23:46:10,79.36000061035155
,2021-09-27,23:44:59,78.45000076293945
,2021-09-27,23:49:45,80.16000061035156
,2021-09-28,00:00:20,82.33333333333333
,2021-09-28,00:11:26,74.75
,2021-09-28,00:19:58,73.0
,2021-09-28,00:07:30,76.2
,2021-10-01,23:46:17,84.25
,2021-10-01,23:45:15,84.25
,2021-10-01,23:52:56,82.5
,2021-10-01,23:47:18,83.59999999999998
,2021-10-02,00:00:47,81.5
,2021-10-02,00:04:12,81.4
