date,value_x,value_y,Vaccine
2021-09-23 02:00:00+00:00,18.25,19.0992469787598,0.0
2021-09-23 04:00:00+00:00,17.5,39.7594337463379,0.0
2021-09-23 06:00:00+00:00,15.25,16.7518653869629,0.0
2021-09-23 08:00:00+00:00,15.75,32.2625961303711,0.0
2021-09-23 10:00:00+00:00,14.5,30.6767425537109,0.0
2021-09-24 02:00:00+00:00,17.5,30.0837364196777,0.0
2021-09-24 04:00:00+00:00,14.75,39.1064262390137,0.0
2021-09-24 06:00:00+00:00,15.0,59.1090087890625,0.0
2021-09-24 08:00:00+00:00,13.5,100.581123352051,0.0
2021-09-24 10:00:00+00:00,13.75,43.9346122741699,0.0
2021-09-24 12:00:00+00:00,13.25,46.2013244628906,0.0
2021-09-28 00:00:00+00:00,23.0,21.3373203277588,0.0
2021-09-28 02:00:00+00:00,16.0,26.146821975708,0.0
2021-09-28 04:00:00+00:00,15.5,22.7884292602539,0.0
2021-09-28 06:00:00+00:00,14.0,58.1151885986328,0.0
2021-09-28 08:00:00+00:00,12.75,61.1079978942871,0.0
2021-10-05 06:00:00+00:00,15.5,55.60818672180175,0.0
2021-10-05 10:00:00+00:00,13.5,37.4774932861328,0.0
2021-10-06 02:00:00+00:00,18.25,20.5927772521973,0.0
2021-10-06 04:00:00+00:00,16.0,24.0948638916016,0.0
2021-10-06 06:00:00+00:00,15.5,22.7801990509033,0.0
2021-10-06 10:00:00+00:00,13.0,61.744937896728494,0.0
2021-10-12 04:00:00+00:00,16.0,23.033849716186552,0.0
2021-10-12 08:00:00+00:00,14.0,81.8424530029297,0.0
2021-10-13 02:00:00+00:00,18.75,17.8080043792725,0.0
2021-10-13 04:00:00+00:00,17.0,24.3618545532227,0.0
2021-10-13 06:00:00+00:00,15.0,21.8617820739746,0.0
2021-10-13 08:00:00+00:00,14.0,33.9116516113281,0.0
2021-10-13 10:00:00+00:00,14.0,88.2315826416016,0.0
2021-10-13 12:00:00+00:00,13.0,34.8066101074219,0.0
2021-10-14 02:00:00+00:00,17.75,11.8308391571045,0.0
2021-10-14 08:00:00+00:00,14.0,22.8418483734131,0.0
2021-10-14 10:00:00+00:00,13.0,65.9388885498047,0.0
2021-10-18 04:00:00+00:00,22.5,75.1893463134766,0.0
2021-10-18 08:00:00+00:00,20.0,26.3618087768555,0.0
2021-10-18 22:00:00+00:00,19.5,23.6775207519531,0.0
2021-10-19 00:00:00+00:00,17.0,14.0712471008301,0.0
2021-10-19 02:00:00+00:00,16.5,24.182897567749,0.0
2021-10-19 04:00:00+00:00,16.5,75.1136627197266,0.0
2021-10-19 06:00:00+00:00,15.0,27.1247119903564,0.0
